2,well whats the answer?,"if you was to lie down at noon so you were facing the sun, then go out in six months timeand lie in the same place at the same time, would you still be facing the sun.? \\nif the earth rotates once every day and goes around the sun once every year. then surly you'd be facing away from the sun the second time you did it.\\n   if you don't understand this simple thing then get two balls, put a mark on one(earth),so the mark is facing the other one(sun).now rotate the earth as it moves around the sun and you'll see that when you get half way around, if you have done a complete number of turns with the earth, the mark will be  facing away from the sun.","Days are counted as complete turns relative to the sun, so you are always facing the sun at noon. If you did the turns relative to the room you're in, you're modeling sidereal days. A sidereal day is one turn of the earth relative to the stars, 23 hours, 56 minutes, four seconds. If you go you at midnight six months apart, you will see that relative to the stars, you are facing in opposite directions."
6,where is the best place to work as windsurf instructor?,windsurf,Pretty sure the Dominican Republic has a beach that is known for world famous windsurfing and kiteboarding.
4,i need a fake alias for a project(a women during the great depression)i need help by monday...thanks?,"were can i find such thing(i dont have a big imagination)i need background(who,what,whan,where and why)what i need this for is for a fake trial im having at school im going to be one of the jury members.that is why i need help on creating a fake persone that can at least sound true.","You could model it over quite a few women.\\n\\nHave you seen Cinderella Man?  It was based on a true story, and James Braddick, the main character, was married.  You could use her.\\n\\nShirley Temple lived during the Great Depression, and I imagine you could find a lot of information out about her life.\\n\\nEllen Sullivan Woodward (it talks some about the women of the Great Depression):  http://mshistory.k12.ms.us/features/feature49/women.htm\\n\\nThis website is designed to lead students through the huge Library of Congress' American Memory collection. Gives many links that deal with women as part of the westward movement in the 1800's and in the Great Depression. Not only primary writings but access to songs and recollections. http://lcweb2.loc.gov/ammem/ndlpedu/features/women/women.html\\n\\nMargaret Bourke-White, photographer during the Great Depression:  www.iptv.org/wettach/\\n\\nHope that helps."
6,What highschool won the 1998 LHSAA baseball A state championship?,,St. Edmunds
4,"After having an ASSOCIATE DEGREE IN RN, will i be able to transfer my credits in a 4 years college with premed",or biology as a major?or will have to start evtg back to zero in order to have a bachelor in science,"I have a feeling any nursing specific creits will not transfer, but general liberal arts credits will transfer.\\n\\nBest to ask this question at the college you intend to go to."
10,what year was the war 1812?,,Look at your question and you will find the answer
4,For people who read Antigone..?,Who is the main character Antigone or Creon..and why??\\nThanks in advance..,"id say antigone and creon is the antagonist, antigone is oedipus daughter and the three stories all revolve mainly around him so id go with antigone becuz she relates more lcosely to the central idea of the trilogy!"
10,How would you convince the US government to fully support and invest in alternative sources of energy?,"I know if the government really put every resource they had into alternative energy, it would become possible to commercialize this industry in as little as 10 years.  But 2 decades of war in the Middle East have not encouraged this move, neither have terrorist attacks.  Greenland already is moving away from oil as its primary source of energy, why can’t we?  We have scientists and MBA’s that are just as brilliant.  The only good news I’ve heard is that somewhere  in the Midwest, I think it’s Colorado, the state returns some money to homes which use wind-powered energy instead of the traditional forms of energy  (oil or electricity).  Tax breaks on electric cars are not enough, because I haven’t seen that big of a change in our energy resources yet.","It shouldn't be the government that does this.  I am an Economics major, and spent a semester studying Environmental Economics.  The solution can, will, and should come from the private sector.  There are many companies out there researching alternate sources of energy, and when it becomes more economical to use these new advances in technology, the market will use them.  Right now it is too cost prohibitive to use alternate forms of energy, but as other resources become more scarce, the price of them will go up, and we as a society will use alternate forms of energy, all without having to get the government involved."
4,"do i to senegal for high school, or do i  move to maryland?","if i go to senegal it's gonna be \\nhot all year,but if i go to maryland, i be spoiled","I think he best way, is immigration, so you won't spoiled all the thing again"
10,Where Can I find info on homeless stats?,LIke maybe a website?,go to state government site...they usually have statistics there.
