10,What does nullifying the law in question mean?,,"Null means nothing.  So if you nullify a law, you make it nothing.  If the Supreme Court rules that a law is unconstitutional, they nullify it."
2,pluto and saturn what dom they have in common?,,"Pluto and Saturn are both planets (duh).\\nThey both have atmospheres (though Saturn's is much thicker and more extensive... pretty much 50% of the entire planet).\\nThey both have moons (Saturn=53, Pluto=3).\\nThey're both round (suprise... suprise...).\\nOther than thatn, that's about all I can think of."
2,Whats's illuminati?,,"""The Illuminati is the name of many groups, modern and historical, real and fictitious, verified and alleged. Most commonly The Illuminati refers specifically to the Bavarian Illuminati, an Enlightenment secret society, described below. However, it often refers to an alleged shadowy conspiratorial organization that controls world affairs behind the scenes, usually a modern incarnation or continuation of the Bavarian Illuminati. Illuminati is sometimes used synonymously with New World Order."""
6,what exactly do these companys make? like what sports equpiment?,can u please give me all the info you know about these two companys?\\n\\nD.C.\\n\\nand\\n\\nVolcom,"dc is primarily a skate shoe company, though they make clothing too. Volcom is more of a clothing brand."
1,"Honestly, if you met a Dentist was tatted (tattoos), would you refrain from going to that Dr.?","Do people still second-doubt credentials of professionals that have tattoos?  Please don't Answer this question quickly, give it a good long thought.  (Imagine a Dentist that was tatted up).","are you the dentist?!  i'd go in a heartbeat!  haha lol seriously i wouldnt give it a second thought if my dentist had tatts, my orthodontist has bad breath and i'd much rather see some ink than smell some stink.  my sister and brother in law are both covered in tattoos.  they are good people and are kind, loving parents.  i get tired of the looks people give them.  they are just like anyone else and yet people judge them as losers, low lifes etc by their artwork.  sad but true.\\n\\nas far as donating blood, i only had to wait one year after i got my tattoo before the american red cross was kind enough to ""accept"" my apparently tainted blood again.."
3,how to safely remove debris from inside an ear?,"a close friend has got the head of a cue-tip stuck in her ear and i would like to help her,  but im unsure whats a safe way to remove it?   \\nwater? tweezers?",Go to a doctor ASAP because trying to get it out urself can make it worse.
6,How many people in America know what Parkour is?,"The Question is in the title, but i just want to see how many people actually know what it is and i also want to know how many practice it?","It is physical discipline training using obsticles for running, jumping, etc. It originates in France."
8,Whats your favourite Disney movie?,,Finding Nemo od Aladdin
9,I need advice about a guy I am dating...?,"When were together we have a great time. We have even discussed marriage, kids, etc. But because of work schedules we go a week a more without seeing each other. He has suggested moving in together so that we would have more time together. I can't do this because it is against my religion. I am 25, he is 36. I have 4 year old twins from my ex-husband and he has a 10 and 13 year old from his ex-wife. We live in the same city. What would you do? Do relationships like this work?","I think it very much depends on how long you have been going out.  both of you are from a relationship, and my worry is that the possible raison you want to move in together is because you both miss sex. Once a week is not too bad for a relationship!  My advice is to take some time before moving in together and I'm sure you would want to balance your religion with your personal life.  If you don't at the end you will get hurt and loose the confidence of your friends."
6,Who is the Peru's top scorer in World Cup History?,,"Top scorer: Teofilo Cubillas with 10 goals.\\n\\nNickname: ""El Nene"" or ""The Baby"" in English.\\n\\nHe lives in Florida, USA, he has a soccer camp in Pompano Beach."
5,"What is the longest you've sat at the computer playing around, without food, drink, or bathroom break?!?",,4 hours.....i had to pee.
6,qui adore l'equipe de foot de Rennes depuis samedi?,,mdr  pas tant que je sache mais j'ai tjs apprecié beaucoup l attaquant alexander frei\\nje soutiens kan meme les lyonnais ^^
8,have u ever been caught up by someone lately?,(an usher song btw),"You were singing with an usher when he caught up to you. How strange. \\n\\nBut seriously, I get caught up in the moment with a lot of people. I visualize the bestpossible outcome and while I am talking or writing I am striving to have that moment with you or whoever the other person may be."
6,Vyizdarezomanymoreorzizasseszandareareorziz?,,Cuzzthereizz!
1,why can't we have peace? dose it really matter what religion we have or how we were?,raised to believe god is there for us if we believe in him.can we all come together and be as one and worship are\\ngreat creator?,"Peace in this world is not a matter of everyone believing the same things.  It's a matter of accepting the fact that everyone thinks differently, and not trying to prove who is right and who is wrong.  The reason why there is not peace in the world today, is because there are too many people who can't accept the differences of others."
4,Can anyone help find antonyms & synonyms for the words tollbooth and shandrydan?,I have looked everywhere for these words and they just seem to be non existing. If anyone could help that would be great. Thank you.,"Toll booth is two words....not one as in ""Tollbooth""\\n\\nTry The Free Dictionary or Dictionary.com or Thesaurus.com"
1,"Does anyone seriously believe that Noah's Ark actually happened? Please explain, I'm fascinated.?",,Someone did the calculations on this and figured out that Noah would have had to load 30 species a second on to the ark for almost 20 years. 24 hours a day 7 days a week.\\n\\nBet he slept good when he was done doing that.\\n\\n\\n\\nPS. The bible said that the flood killed every living thing. Does this mean that Noah had to have fish tanks on the ark so the fish would not drown in the flood.\\n\\nLove and blessings Don
5,Please explain the advantages and the disadvantages of using Lap tops?,,"One of the biggest disadvantage is the price, for what you get they are much more expensive, other disadvanges would be the battery life, the memory/space ussually isnt as good.\\n\\nThe advantages would be you can take it anywhere, they dont take up as much room and they make you look cool! (Just kidding about the last part LOL)"
3,Stupid question about finger and light socket are they killers?,"Would my hair stay fuzzy for the rest of my life, if I stuck a wet finger into a light socket or would I die before my hair even turned fuzzy?",Probably would kill you.  Try sticking your tongue to a car battery while it is still running! It should fizz the hair and keep you alive at the same time!
3,do you build an immunity to tylenol?,i wanna know smartzzzzzzzzz,ToTylenol?  No.  But Tylenol PM..  Yes.   Good Luck !  :)
1,Can unicorns fly?,,NO\\n\\nonly Pegasus can!
1,English to polish translation?,'I am not from Poland but if u dont know who i am its cool..i know who you are...just wanted to say hi thats all,"translation to polish:\\n""Nie jestem z Polski ale nie ma sprawy jesli nie wiesz kim jestem... ja za to wiem kim ty jestes. Chce ci tylko powiedziec siemanko...to wszystko"" - end of translation"
9,How do u find love?,I have no boyfriend.(But i really want one),"I don't.  I leave myself open to the possibility.  Searching doesn't seem to work and I get really discouraged. Then I become negative and things definitely don't happen. I've found when I just don't search but leave myself open, things start to happen.\\n\\nWhy do you ""Really want one?"" Be fine by yourself, secure and happy.  Not longing or searching for someone. You may be surprised by the results."
1,What is Microsoft's Significant Symbols?,corporate culture,Might wana add some details and reask this one.
8,Wut is the best Final Fantasy game and why ?,,"Final Fantasy 7 because it has an intricate storyline, likable characters, and an in depth plot.  The main conflict and romance are very emotionally moving and draw the player into the story."
5,How do you load mini cd's into the computer?,,"Open the CD draw of your CDROM, you will see an indentation made for the mini CDs, close the drawer, and it will play."
1,"When you write a letter,?","is it you who writes it? Or is it your pen, or your computer that types it?\\nGod used chosen men to write the His Word the same way.",the bible was inspired by GOD!
10,i wanted to know the laws in CT about 16 yr old and their rights- can someone help..all the sites i find r old,,"This is the website about the rights of minors in CT.  It seems to have all been updated when needed.  The Teenager's Guide to Emancipation page was updated in April of 2006:\\nhttp://www.jud.state.ct.us/LawLib/Law/minors.htm\\n\\nIf your talking about work, this was updated last month:\\nhttp://www.ctdol.state.ct.us/wgwkstnd/faqs-minors.htm"
3,How is that my children both have light hair when neither I or the father have light hair or blues eyes?,"I have two children, they both have light hair and blue eyes and both me and the father have dark hair brown eyes. His parents have dark hair and so do mine, his father has hazle eyes. The only people i have are my uncle who has blue eyes and my grandmother on my dads side who has blonde and blue. The father queastions this constently. I have been loyal but am also curious, I have heard that recessive genes can appaer out nowhere is this the case?","Most likely yes. Also remember blonde hair does get darker eventually. Mine's turning dirty blonde (from blonde). My dad's hair is black and my mother's is brown. I THOUGHT I got blonde hair because my grandfather had it, however, my dad's hair used to be blonde and it turned to black. Also I am the only one besides my grandfather to have hazel eyes.... I am the only blonde female. I think they can occur out of nowhere. Because you can't know everyone you are related to nor can you meet them. Some families go many generations back. Like I am Cherokee, but I am 100% white and blonde. So I believe someone along the way might have had light hair and blue eyes... and if these are infants blue eyes change sometimes and so does the light hair. Don't worry so much. Facial features happen to tell everything and if he really is that insercure... paternity tests."
2,"How do you solve this type of equation   X+(0.04*X)=320,  and also Y-(Y*0.04)=57 ???","I am trying to figure out how much starting HP and MP my RPG character starts out with if I were to take off his equipment (which I cant because its fixed). With the equipment on his starting HP is 320 and MP is 57, the equipment gives -4% HP and +4% MP, Whats his starting HP and MP with the equipment off???",X+(0.04*X)=320\\n1.04X = 320\\nX = 320/1.04 = 307.69\\n\\nY-(Y*0.04)=57\\n0.96Y = 57\\nY=59.375
