1,Fantastic replies from the question I asked concerning conversation from filipinas and latinas?,the hostilities and remarks are just what I expected and I was mocked for ruining it for other guys.  Makes you wonder what his intentions were lol,"LOL.  You got some amazing answers indeed.  I can relate though I was gaga over pinays and latinas too, and ended up marrying a latina.  There are plenty of places to meet them online if you can't here at yahoo answers."
7,How do small businesses compete in an emerging market?  (the oil industry)?,"How do small businesses compete in an emerging market?  (the oil industry) The case is ""Walsh Petroleum)","No enough detail. The oil industry covers a lot of stuff from exploration, production, transportation, refining, trading, wholesale and retail sales."
10,Do you think that people from former Soviet Union are still Communists?,,"Some are. Some of the largest minor parties in the former soviet countries are Communist. There are different strains of communism and some have started taking on more democratic socialist leanings like other european countries. But, for example, in Russia, I think the Communist party there still holds one of the largest, if not THE largest voting blocs in their congress/parliament. They are still out there, just not in control like they used to be. Besides, some would argue that it is worse since Russia appears to be Capitalist and all, but has Putin and others at the helm that stifle freedom and use old Soviet KGB tactics in running their government.Ok...enough for my rant. Hope this helps."
2,I have a question for a material or chemical engineer?,"I have a small warm pack for massages that is clear plastic with a clear fluid inside.  There is a metal disc inside that you flex back and forth to activate the heat.  This makes the clear liquid turn opaque and warms up.  To reactive, you boil the warm pack for 5 minutes until the inside fluid turns clear.\\nWhat fluid is contained in this?  What does the flexing of the metal disc do?\\n\\nThanks in advance!","Your heat pack probably contains Sodium Acetate.\\n\\nFlexing a metal ""trigger"" within the sealed container causes a few molecules of liquid to crystallize.  These few molecule start a whole chain reaction which starts a chain reaction causing the supercooled solution to change from a liquid to a solid as crystals form.\\n\\nThis phase change causes the pack to give out heat. When the heat pack contents crystallize, its temperature returns its freezing point, and then you can recycle it by boiling. \\n\\nWhen they pack is boiled, the crystals dissolve in their own water of crystallization so the heat pack returns back to a liquid state.\\n\\nI hope this was helpful!"
10,My son joined the National guard. He is 18.   Does this mean he is considered to be emancipated?,"We live in Indiana.  He plans to attend IVY Tech in the Fall.  Indiana Law states that emancipation occurs when you become a member of the armed services.  Indiana National Guard is a branch of the Army National Guard,  it is not a state militia.  So I am wondering if this means he will be automatically emancipated and my child support obligations will cease.","He's an adult at 18 regardless of military status.  Your child support obligations ended the day he turned 18.  If you have a contractual obligation to pay for college or otherwise support him past the age of 18, his enlisting in the military will not nulify the obligations, but you should no longer be paying standard child support to his other parent."
5,i am trying to use pc to phone service to call overseas but my call is not going thru. any help. thanks?,,"What software are you using?\\nIf it's Skype, the calls from PC to landlines OVERSEAS are NOT FREE. You have to subscribe to Skype's call service.\\nOnly calls originating from the U.S./Canada going to landlines  ALSO within the U.S. and Canada are FREE.\\nGet more info here: http://www.skype.com\\nGOOD LUCK!"
1,gay/bi guys how do i get a boyfriend?,,Either go out to a gay bar or check out personals in Gay/Bi publication at an Adult Book & Video store. Or try to hook up with someone online at one of many sites.
2,Has anyone heard of the Chaos Cloud?,Does anyone think that it is real?\\n\\nThis is the URL I found it on.\\nhttp://www.weeklyworldnews.com/features/science/61501,WWN definitely isn't the place to read about space & science news.\\n\\nIts just a story... read the following report\\n\\nhttp://www.snopes.com/science/dustcloud.asp
9,what is the best web site to find wealthy women for marriage?,,"are you serious? If they are smart enough to be wealthy they are smart enough not to advertise for gold diggers over the internet. By the way, do you know where I can find any dumb single rich men?"
5,Will you choose Dvorak over Qwerty?,"I put in the Typing Analyst ( http://dvzine.org/info/input.html ), all my answers I had posted before posting this question, and I found interesting results. Since I cannot put the results here properly, I put it in my blog:\\nhttp://thehunk.blogspot.com/2006/04/dvorak-vs-qwerty.html\\n\\nMy question is, will you consider choosing Dvorak over Qwerty? If yes, why? If no, why not?\\n\\nYou can read about the Dvorak keyboard layout here:\\nhttp://en.wikipedia.org/wiki/Dvorak_Simplified_Keyboard\\n_______\\nViva La Dvorak! - www.dvzine.org",i wish they would try this out and see what happens..not by judging as it seems..i want mac to use this and maybe have that edge on windows and qwerty etc.
